timestamp,symbol,close,open,high,low,close_less_than_ma10_5m,ma10_5m_less_than_ma30_5m,ma30_5m_less_than_ma60_5m,change_rate_5m,boll_range_rate_5m,close_ma60_rate_5m,close_ma60_rate_4h,volume_ma20_rate_5m,volume_ma20_rate_4h,rsi_4h,close_ma30_rate_1d
1672565100000,ETHUSDT,1194.76,1195.46,1195.62,1194.76,0,1,0,-0.00058,0.00163,0.00046,-0.0108,1.059,0.5539,39.5,-0.03156
1672565400000,ETHUSDT,1195.15,1194.76,1195.16,1194.76,0,1,0,0.00032,0.00164,0.00071,-0.0108,0.47121,0.5539,39.5,-0.03156
1672565700000,ETHUSDT,1195.16,1195.15,1195.24,1195.15,0,1,0,0,0.00166,0.00072,-0.0108,0.53177,0.5539,39.5,-0.03156
1672566000000,ETHUSDT,1195.98,1195.15,1195.99,1195.15,0,0,0,0.00068,0.00182,0.00132,-0.0108,0.87392,0.5539,39.5,-0.03156
1672566300000,ETHUSDT,1195.8,1195.98,1196.1,1195.6,0,0,0,-0.00016,0.00179,0.00117,-0.0108,1.26968,0.5539,39.5,-0.03156
1672566600000,ETHUSDT,1196.07,1195.8,1196.21,1195.79,0,0,0,0.00022,0.00198,0.00131,-0.0108,0.90166,0.5539,39.5,-0.03156
1672566900000,ETHUSDT,1196.48,1196.08,1196.55,1196.01,0,0,0,0.00034,0.00222,0.00165,-0.0108,1.2369,0.5539,39.5,-0.03156
1672567200000,ETHUSDT,1196.01,1196.47,1196.48,1196,0,0,0,-0.0004,0.00232,0.00118,-0.0108,0.58232,0.5539,39.5,-0.03156
1672567500000,ETHUSDT,1195.83,1196.01,1196.01,1195.7,0,0,0,-0.00016,0.00236,0.00102,-0.0108,1.0224,0.5539,39.5,-0.03156
1672567800000,ETHUSDT,1196.29,1195.83,1196.3,1195.83,0,0,0,0.00038,0.00251,0.00133,-0.0108,0.69104,0.5539,39.5,-0.03156
1672568100000,ETHUSDT,1196.13,1196.29,1196.34,1196.13,0,0,0,-0.00014,0.00258,0.00119,-0.0108,0.84683,0.5539,39.5,-0.03156
1672568400000,ETHUSDT,1196.22,1196.14,1196.22,1195.98,0,0,0,0.00007,0.00269,0.00118,-0.0108,0.67679,0.5539,39.5,-0.03156
1672568700000,ETHUSDT,1196.21,1196.22,1196.22,1196.21,0,0,0,-0.00001,0.00267,0.00118,-0.0108,0.28786,0.5539,39.5,-0.03156
1672569000000,ETHUSDT,1195.74,1196.22,1196.22,1195.73,1,0,0,-0.0004,0.00265,0.00078,-0.0108,0.82921,0.5539,39.5,-0.03156
1672569300000,ETHUSDT,1195.68,1195.74,1195.82,1195.6,1,0,0,-0.00006,0.00255,0.00065,-0.0108,1.20432,0.5539,39.5,-0.03156
1672569600000,ETHUSDT,1195.66,1195.69,1195.69,1195.59,1,0,0,-0.00002,0.00238,0.00063,-0.0108,0.76689,0.5539,39.5,-0.03156
1672569900000,ETHUSDT,1195.69,1195.66,1195.7,1195.66,1,0,0,0.00002,0.0021,0.00066,-0.0108,0.21311,0.5539,39.5,-0.03156
1672570200000,ETHUSDT,1196.07,1195.7,1196.08,1195.69,0,0,0,0.00031,0.00181,0.00089,-0.0108,0.85079,0.5539,39.5,-0.03156
1672570500000,ETHUSDT,1197.14,1196.08,1197.19,1196.07,0,0,0,0.00089,0.00186,0.00179,-0.0108,1.98475,0.5539,39.5,-0.03156
1672570800000,ETHUSDT,1196.75,1197.14,1197.23,1196.75,0,0,0,-0.00033,0.00177,0.00146,-0.0108,1.86135,0.5539,39.5,-0.03156
1672571100000,ETHUSDT,1197.14,1196.75,1197.14,1196.59,0,0,0,0.00032,0.00196,0.0017,-0.0108,1.88753,0.5539,39.5,-0.03156
1672571400000,ETHUSDT,1196.92,1197.13,1197.41,1196.92,0,0,0,-0.00019,0.0018,0.00152,-0.0108,1.58653,0.5539,39.5,-0.03156
1672571700000,ETHUSDT,1196.28,1196.93,1196.93,1196.08,1,0,0,-0.00054,0.00167,0.00098,-0.0108,1.28647,0.5539,39.5,-0.03156
1672572000000,ETHUSDT,1196.49,1196.27,1196.49,1196.15,0,0,0,0.00017,0.00149,0.00107,-0.0108,0.72936,0.5539,39.5,-0.03156
1672572300000,ETHUSDT,1196.16,1196.49,1196.49,1196.09,1,0,0,-0.00028,0.00149,0.0008,-0.0108,0.91193,0.5539,39.5,-0.03156
1672572600000,ETHUSDT,1196.17,1196.16,1196.27,1195.81,1,0,0,0,0.00146,0.00081,-0.0108,1.49352,0.5539,39.5,-0.03156
1672572900000,ETHUSDT,1196.35,1196.17,1196.35,1196.16,1,0,0,0.00015,0.00146,0.00087,-0.0108,0.58333,0.5539,39.5,-0.03156
1672573200000,ETHUSDT,1196.05,1196.34,1196.44,1196.04,1,0,0,-0.00026,0.00145,0.00062,-0.0108,1.54208,0.5539,39.5,-0.03156
1672573500000,ETHUSDT,1195.82,1196.04,1196.05,1195.81,1,0,0,-0.0002,0.00147,0.00043,-0.0108,0.62237,0.5539,39.5,-0.03156
1672573800000,ETHUSDT,1195.79,1195.81,1195.82,1195.72,1,0,0,-0.00003,0.00147,0.0004,-0.0108,0.4572,0.5539,39.5,-0.03156
1672574100000,ETHUSDT,1196.34,1195.79,1196.35,1195.79,0,0,0,0.00045,0.00148,0.00078,-0.0108,0.83813,0.5539,39.5,-0.03156
1672574400000,ETHUSDT,1196.45,1196.35,1196.45,1196.21,0,0,0,0.00009,0.00149,0.00087,-0.00949,1.01116,0.34935,46.33,-0.03156
1672574700000,ETHUSDT,1195.9,1196.44,1196.45,1195.86,1,0,0,-0.00046,0.0015,0.00041,-0.00949,1.08461,0.34935,46.33,-0.03156
1672575000000,ETHUSDT,1197.21,1195.9,1197.55,1195.83,0,0,0,0.00109,0.00167,0.00143,-0.00949,3.06397,0.34935,46.33,-0.03156
